amplitude,noise,band_pass,window_size,time_interval,density,location,condition,method,crit_p_val,total,positives,global_significant,TP,FP,TN,FN,type_I_ER,type_II_ER
"(80, 20)",low,True,0.012,True,64,False,baseline,mc_w,0.0096225044864937,567,0,False,0,0,483,84,0.0,1.0
"(80, 20)",low,True,0.012,True,64,False,vs,mc_w,0.0096225044864937,567,42,True,29,13,470,55,0.026915113871635612,0.6547619047619048
"(80, 20)",low,True,0.012,True,31,True,baseline,mc_w,0.0288675134594812,63,0,False,0,0,27,36,0.0,1.0
"(80, 20)",low,True,0.012,True,31,True,vs,mc_w,0.0288675134594812,63,14,True,14,0,27,22,0.0,0.6111111111111112
"(80, 20)",low,True,0.012,True,31,False,baseline,mc_w,0.0144337567297406,252,0,False,0,0,216,36,0.0,1.0
"(80, 20)",low,True,0.012,True,31,False,vs,mc_w,0.0144337567297406,252,26,True,14,12,204,22,0.05555555555555555,0.6111111111111112
"(80, 20)",low,True,0.012,False,86,True,baseline,mc_w,0.0100809729818188,504,2,False,0,2,358,144,0.005555555555555556,1.0
"(80, 20)",low,True,0.012,False,86,True,vs,mc_w,0.0100809729818188,504,44,True,42,2,358,102,0.005555555555555556,0.7083333333333334
"(80, 20)",low,True,0.012,False,86,False,baseline,mc_w,0.0056650177570259,1596,4,False,0,4,1448,144,0.0027548209366391185,1.0
"(80, 20)",low,True,0.012,False,86,False,vs,mc_w,0.0056650177570259,1596,44,False,32,12,1440,112,0.008264462809917356,0.7777777777777778
"(80, 20)",low,True,0.012,False,64,True,baseline,mc_w,0.0131990919337113,294,2,False,0,2,208,84,0.009523809523809525,1.0
"(80, 20)",low,True,0.012,False,64,True,vs,mc_w,0.0131990919337113,294,33,True,31,2,208,53,0.009523809523809525,0.6309523809523809
"(80, 20)",low,True,0.012,False,64,False,baseline,mc_w,0.0067206486545459,1134,2,False,0,2,1048,84,0.0019047619047619048,1.0
"(80, 20)",low,True,0.012,False,64,False,vs,mc_w,0.0067206486545459,1134,38,False,26,12,1038,58,0.011428571428571429,0.6904761904761905
"(80, 20)",low,True,0.012,False,31,True,baseline,mc_w,0.0201619459636377,126,0,False,0,0,90,36,0.0,1.0
"(80, 20)",low,True,0.012,False,31,True,vs,mc_w,0.0201619459636377,126,14,True,14,0,90,22,0.0,0.6111111111111112
"(80, 20)",low,True,0.012,False,31,False,baseline,mc_w,0.0100809729818188,504,0,False,0,0,468,36,0.0,1.0
"(80, 20)",low,True,0.012,False,31,False,vs,mc_w,0.0100809729818188,504,21,False,14,7,461,22,0.014957264957264958,0.6111111111111112
"(80, 20)",low,True,0.02,True,86,True,baseline,mc_w,0.0186338998124982,156,0,False,0,0,60,96,0.0,1.0
"(80, 20)",low,True,0.02,True,86,True,vs,mc_w,0.0186338998124982,156,29,True,29,0,60,67,0.0,0.6979166666666666
"(80, 20)",low,True,0.02,True,86,False,baseline,mc_w,0.0104713477072923,494,0,False,0,0,398,96,0.0,1.0
"(80, 20)",low,True,0.02,True,86,False,vs,mc_w,0.0104713477072923,494,27,True,23,4,394,73,0.010050251256281407,0.7604166666666666
