amplitude,noise,band_pass,window_size,density,location,condition,method,crit_p_val,total,positives,global_significant,TP,FP,TN,FN,precision,recall,F1,type_I_ER,type_II_ER
"(60, 20)",high,False,0.02,64,True,difference,cp,0.05,22,0,False,0,0,17,5,1.0,0.0,0.0,0.0,1.0
"(60, 20)",high,False,0.02,64,False,baseline,cp,0.05,77,1,True,0,1,71,5,0.0,0.0,0.0,0.013888888888888888,1.0
"(60, 20)",high,False,0.02,64,False,vs_right,cp,0.05,58,4,True,2,2,53,1,0.5,0.6666666666666666,0.5714285714285715,0.03636363636363636,0.3333333333333333
"(60, 20)",high,False,0.02,64,False,vs_left,cp,0.05,44,4,True,2,2,39,1,0.5,0.6666666666666666,0.5714285714285715,0.04878048780487805,0.3333333333333333
"(60, 20)",high,False,0.02,64,False,difference,cp,0.05,65,0,False,0,0,60,5,1.0,0.0,0.0,0.0,1.0
"(60, 20)",high,False,0.02,31,True,baseline,cp,0.05,6,0,False,0,0,3,3,1.0,0.0,0.0,0.0,1.0
"(60, 20)",high,False,0.02,31,True,vs_right,cp,0.05,17,4,True,4,0,7,6,1.0,0.4,0.5714285714285715,0.0,0.6
"(60, 20)",high,False,0.02,31,True,vs_left,cp,0.05,14,3,True,3,0,4,7,1.0,0.3,0.4615384615384615,0.0,0.7
"(60, 20)",high,False,0.02,31,True,difference,cp,0.05,10,0,False,0,0,5,5,1.0,0.0,0.0,0.0,1.0
"(60, 20)",high,False,0.02,31,False,baseline,cp,0.05,41,0,False,0,0,38,3,1.0,0.0,0.0,0.0,1.0
"(60, 20)",high,False,0.02,31,False,vs_right,cp,0.05,51,9,True,4,5,36,6,0.4444444444444444,0.4,0.4210526315789474,0.12195121951219512,0.6
"(60, 20)",high,False,0.02,31,False,vs_left,cp,0.05,43,13,True,6,7,26,4,0.46153846153846156,0.6,0.5217391304347826,0.21212121212121213,0.4
"(60, 20)",high,False,0.02,31,False,difference,cp,0.05,33,0,False,0,0,28,5,1.0,0.0,0.0,0.0,1.0
"(60, 20)",low,True,0.004,86,True,baseline,mc_w,0.0037796447300922,3528,21,False,5,16,2448,1059,0.23809523809523808,0.004699248120300752,0.009216589861751152,0.006493506493506494,0.9953007518796992
"(60, 20)",low,True,0.004,86,True,vs_right,mc_w,0.0037796447300922,3528,485,True,443,42,2422,621,0.9134020618556701,0.41635338345864664,0.5719819238218204,0.017045454545454544,0.5836466165413534
"(60, 20)",low,True,0.004,86,True,vs_left,mc_w,0.0037796447300922,3528,472,True,460,12,2452,604,0.9745762711864406,0.4323308270676692,0.5989583333333334,0.00487012987012987,0.5676691729323309
"(60, 20)",low,True,0.004,86,True,difference,mc_w,0.0037796447300922,3528,23,False,21,2,2462,1043,0.9130434782608695,0.019736842105263157,0.03863845446182152,0.0008116883116883117,0.9802631578947368
"(60, 20)",low,True,0.004,86,False,baseline,mc_w,0.0021566554640687,10836,18,False,3,15,9757,1061,0.16666666666666666,0.002819548872180451,0.005545286506469501,0.0015349979533360622,0.9971804511278195
"(60, 20)",low,True,0.004,86,False,vs_right,mc_w,0.0021566554640687,10836,1069,True,407,662,9110,657,0.3807296538821328,0.3825187969924812,0.38162212845757143,0.06774457634056488,0.6174812030075187
"(60, 20)",low,True,0.004,86,False,vs_left,mc_w,0.0021566554640687,10836,1011,True,424,587,9185,640,0.41938674579624136,0.39849624060150374,0.4086746987951807,0.060069586573884566,0.6015037593984962
"(60, 20)",low,True,0.004,86,False,difference,mc_w,0.0021566554640687,10836,42,False,13,29,9743,1051,0.30952380952380953,0.012218045112781954,0.023508137432188065,0.0029676627097830538,0.9877819548872181
"(60, 20)",low,True,0.004,64,True,baseline,mc_w,0.0047140452079103,2268,14,False,2,12,1572,682,0.14285714285714285,0.0029239766081871343,0.0057306590257879654,0.007575757575757576,0.9970760233918129
"(60, 20)",low,True,0.004,64,True,vs_right,mc_w,0.0047140452079103,2268,359,True,331,28,1556,353,0.9220055710306406,0.48391812865497075,0.6347075743048898,0.017676767676767676,0.5160818713450293
"(60, 20)",low,True,0.004,64,True,vs_left,mc_w,0.0047140452079103,2268,339,True,327,12,1572,357,0.9646017699115044,0.4780701754385965,0.6392961876832843,0.007575757575757576,0.5219298245614035
"(60, 20)",low,True,0.004,64,True,difference,mc_w,0.0047140452079103,2268,20,False,17,3,1581,667,0.85,0.024853801169590642,0.04829545454545454,0.001893939393939394,0.9751461988304093
"(60, 20)",low,True,0.004,64,False,baseline,mc_w,0.0025,8064,19,False,0,19,7361,684,0.0,0.0,0.0,0.002574525745257453,1.0
"(60, 20)",low,True,0.004,64,False,vs_right,mc_w,0.0025,8064,812,True,295,517,6863,389,0.3633004926108374,0.43128654970760233,0.3943850267379679,0.07005420054200542,0.5687134502923976
"(60, 20)",low,True,0.004,64,False,vs_left,mc_w,0.0025,8064,776,True,300,476,6904,384,0.3865979381443299,0.43859649122807015,0.410958904109589,0.06449864498644986,0.5614035087719298
"(60, 20)",low,True,0.004,64,False,difference,mc_w,0.0025,8064,32,False,10,22,7358,674,0.3125,0.014619883040935672,0.02793296089385475,0.002981029810298103,0.9853801169590644
"(60, 20)",low,True,0.004,31,True,baseline,mc_w,0.0070710678118654,1008,20,False,2,18,686,302,0.1,0.006578947368421052,0.012345679012345678,0.02556818181818182,0.993421052631579
"(60, 20)",low,True,0.004,31,True,vs_right,mc_w,0.0070710678118654,1008,176,True,154,22,682,150,0.875,0.506578947368421,0.6416666666666666,0.03125,0.4934210526315789
"(60, 20)",low,True,0.004,31,True,vs_left,mc_w,0.0070710678118654,1008,149,True,139,10,694,165,0.9328859060402684,0.45723684210526316,0.6136865342163355,0.014204545454545454,0.5427631578947368
"(60, 20)",low,True,0.004,31,True,difference,mc_w,0.0070710678118654,1008,14,False,8,6,698,296,0.5714285714285714,0.02631578947368421,0.050314465408805034,0.008522727272727272,0.9736842105263158
"(60, 20)",low,True,0.004,31,False,baseline,mc_w,0.0035921060405354,3906,19,False,0,19,3583,304,0.0,0.0,0.0,0.005274847307051638,1.0
"(60, 20)",low,True,0.004,31,False,vs_right,mc_w,0.0035921060405354,3906,444,True,139,305,3297,165,0.3130630630630631,0.45723684210526316,0.3716577540106952,0.0846751804553026,0.5427631578947368
"(60, 20)",low,True,0.004,31,False,vs_left,mc_w,0.0035921060405354,3906,401,True,129,272,3330,175,0.32169576059850374,0.4243421052631579,0.36595744680851067,0.07551360355358135,0.5756578947368421
"(60, 20)",low,True,0.004,31,False,difference,mc_w,0.0035921060405354,3906,29,False,7,22,3580,297,0.2413793103448276,0.023026315789473683,0.04204204204204203,0.006107717934480844,0.9769736842105263
"(60, 20)",low,True,0.012,86,True,baseline,mc_w,0.0065995459668556,1176,3,False,0,3,837,336,0.0,0.0,0.0,0.0035714285714285713,1.0
"(60, 20)",low,True,0.012,86,True,vs_right,mc_w,0.0065995459668556,1176,173,True,156,17,823,180,0.9017341040462428,0.4642857142857143,0.612966601178782,0.02023809523809524,0.5357142857142857
"(60, 20)",low,True,0.012,86,True,vs_left,mc_w,0.0065995459668556,1176,164,True,162,2,838,174,0.9878048780487805,0.48214285714285715,0.6479999999999999,0.002380952380952381,0.5178571428571429
"(60, 20)",low,True,0.012,86,True,difference,mc_w,0.0065995459668556,1176,8,False,6,2,838,330,0.75,0.017857142857142856,0.03488372093023255,0.002380952380952381,0.9821428571428571
"(60, 20)",low,True,0.012,86,False,baseline,mc_w,0.0037656837841065,3612,4,False,0,4,3272,336,0.0,0.0,0.0,0.001221001221001221,1.0
"(60, 20)",low,True,0.012,86,False,vs_right,mc_w,0.0037656837841065,3612,389,True,143,246,3030,193,0.3676092544987147,0.4255952380952381,0.39448275862068966,0.07509157509157509,0.5744047619047619
"(60, 20)",low,True,0.012,86,False,vs_left,mc_w,0.0037656837841065,3612,349,True,145,204,3072,191,0.4154727793696275,0.43154761904761907,0.4233576642335766,0.06227106227106227,0.5684523809523809
"(60, 20)",low,True,0.012,86,False,difference,mc_w,0.0037656837841065,3612,15,False,4,11,3265,332,0.26666666666666666,0.011904761904761904,0.02279202279202279,0.003357753357753358,0.9880952380952381
"(60, 20)",low,True,0.012,64,True,baseline,mc_w,0.0082310799720799,756,3,False,0,3,537,216,0.0,0.0,0.0,0.005555555555555556,1.0
"(60, 20)",low,True,0.012,64,True,vs_right,mc_w,0.0082310799720799,756,119,True,110,9,531,106,0.9243697478991597,0.5092592592592593,0.6567164179104478,0.016666666666666666,0.49074074074074076
"(60, 20)",low,True,0.012,64,True,vs_left,mc_w,0.0082310799720799,756,122,True,122,0,540,94,1.0,0.5648148148148148,0.7218934911242603,0.0,0.4351851851851852
"(60, 20)",low,True,0.012,64,True,difference,mc_w,0.0082310799720799,756,8,False,6,2,538,210,0.75,0.027777777777777776,0.05357142857142857,0.003703703703703704,0.9722222222222222
"(60, 20)",low,True,0.012,64,False,baseline,mc_w,0.0043651893485598,2688,5,False,0,5,2467,216,0.0,0.0,0.0,0.0020226537216828477,1.0
"(60, 20)",low,True,0.012,64,False,vs_right,mc_w,0.0043651893485598,2688,301,True,105,196,2276,111,0.3488372093023256,0.4861111111111111,0.40618955512572535,0.07928802588996764,0.5138888888888888
"(60, 20)",low,True,0.012,64,False,vs_left,mc_w,0.0043651893485598,2688,270,True,101,169,2303,115,0.37407407407407406,0.4675925925925926,0.4156378600823045,0.06836569579288027,0.5324074074074074
"(60, 20)",low,True,0.012,64,False,difference,mc_w,0.0043651893485598,2688,14,False,4,10,2462,212,0.2857142857142857,0.018518518518518517,0.034782608695652174,0.0040453074433656954,0.9814814814814815
"(60, 20)",low,True,0.012,31,True,baseline,mc_w,0.0123466199581198,336,6,False,0,6,234,96,0.0,0.0,0.0,0.025,1.0
"(60, 20)",low,True,0.012,31,True,vs_right,mc_w,0.0123466199581198,336,60,True,52,8,232,44,0.8666666666666667,0.5416666666666666,0.6666666666666667,0.03333333333333333,0.4583333333333333
"(60, 20)",low,True,0.012,31,True,vs_left,mc_w,0.0123466199581198,336,55,True,55,0,240,41,1.0,0.5729166666666666,0.728476821192053,0.0,0.4270833333333333
"(60, 20)",low,True,0.012,31,True,difference,mc_w,0.0123466199581198,336,6,False,4,2,238,92,0.6666666666666666,0.041666666666666664,0.0784313725490196,0.008333333333333333,0.9583333333333334
"(60, 20)",low,True,0.012,31,False,baseline,mc_w,0.0062720892108172,1302,5,False,0,5,1201,96,0.0,0.0,0.0,0.0041459369817578775,1.0
"(60, 20)",low,True,0.012,31,False,vs_right,mc_w,0.0062720892108172,1302,164,True,49,115,1091,47,0.29878048780487804,0.5104166666666666,0.37692307692307697,0.09535655058043117,0.4895833333333333
"(60, 20)",low,True,0.012,31,False,vs_left,mc_w,0.0062720892108172,1302,140,True,45,95,1111,51,0.32142857142857145,0.46875,0.38135593220338987,0.07877280265339967,0.53125
"(60, 20)",low,True,0.012,31,False,difference,mc_w,0.0062720892108172,1302,7,False,4,3,1203,92,0.5714285714285714,0.041666666666666664,0.07766990291262137,0.0024875621890547263,0.9583333333333334
"(60, 20)",low,True,0.02,86,True,baseline,mc_w,0.0084515425472851,728,2,False,0,2,502,224,0.0,0.0,0.0,0.003968253968253968,1.0
"(60, 20)",low,True,0.02,86,True,vs_right,mc_w,0.0084515425472851,728,99,True,91,8,496,133,0.9191919191919192,0.40625,0.563467492260062,0.015873015873015872,0.59375
"(60, 20)",low,True,0.02,86,True,vs_left,mc_w,0.0084515425472851,728,84,True,84,0,504,140,1.0,0.375,0.5454545454545454,0.0,0.625
"(60, 20)",low,True,0.02,86,True,difference,mc_w,0.0084515425472851,728,2,False,2,0,504,222,1.0,0.008928571428571428,0.017699115044247787,0.0,0.9910714285714286
