amplitude,noise,band_pass,window_size,time_interval,density,location,condition,method,crit_p_val,total,positives,global_significant,TP,FP,TN,FN,type_I_ER,type_II_ER
"(40, 20)",high,True,0.02,True,86,False,baseline,mc_w,0.0066875047021533,1118,2,False,0,2,1116,0,0.0017889087656529517,0.0
"(40, 20)",high,True,0.02,True,86,False,vs_right,mc_w,0.0066875047021533,1118,74,True,68,6,888,156,0.006711409395973154,0.6964285714285714
"(40, 20)",high,True,0.02,True,86,False,vs_left,mc_w,0.0066875047021533,1118,75,True,64,11,883,160,0.012304250559284116,0.7142857142857143
"(40, 20)",high,True,0.02,True,86,False,difference,mc_w,0.0066875047021533,1118,0,False,0,0,894,224,0.0,1.0
"(40, 20)",high,True,0.02,True,64,True,baseline,mc_w,0.0146176336551171,234,2,False,0,2,232,0,0.008547008547008548,0.0
"(40, 20)",high,True,0.02,True,64,True,vs_right,mc_w,0.0146176336551171,234,57,True,55,2,88,89,0.022222222222222223,0.6180555555555556
"(40, 20)",high,True,0.02,True,64,True,vs_left,mc_w,0.0146176336551171,234,61,True,61,0,90,83,0.0,0.5763888888888888
"(40, 20)",high,True,0.02,True,64,True,difference,mc_w,0.0146176336551171,234,0,False,0,0,90,144,0.0,1.0
"(40, 20)",high,True,0.02,True,64,False,baseline,mc_w,0.0077521709118255,832,1,False,0,1,831,0,0.001201923076923077,0.0
"(40, 20)",high,True,0.02,True,64,False,vs_right,mc_w,0.0077521709118255,832,58,True,52,6,682,92,0.00872093023255814,0.6388888888888888
"(40, 20)",high,True,0.02,True,64,False,vs_left,mc_w,0.0077521709118255,832,59,True,47,12,676,97,0.01744186046511628,0.6736111111111112
"(40, 20)",high,True,0.02,True,64,False,difference,mc_w,0.0077521709118255,832,2,False,0,2,686,144,0.0029069767441860465,1.0
"(40, 20)",high,True,0.02,True,31,True,baseline,mc_w,0.0219264504826757,104,4,False,0,4,100,0,0.038461538461538464,0.0
"(40, 20)",high,True,0.02,True,31,True,vs_right,mc_w,0.0219264504826757,104,28,True,26,2,38,38,0.05,0.59375
"(40, 20)",high,True,0.02,True,31,True,vs_left,mc_w,0.0219264504826757,104,32,True,31,1,39,33,0.025,0.515625
"(40, 20)",high,True,0.02,True,31,True,difference,mc_w,0.0219264504826757,104,0,False,0,0,40,64,0.0,1.0
"(40, 20)",high,True,0.02,True,31,False,baseline,mc_w,0.0111386479838528,403,2,False,0,2,401,0,0.004962779156327543,0.0
"(40, 20)",high,True,0.02,True,31,False,vs_right,mc_w,0.0111386479838528,403,25,True,21,4,335,43,0.011799410029498525,0.671875
"(40, 20)",high,True,0.02,True,31,False,vs_left,mc_w,0.0111386479838528,403,22,True,20,2,337,44,0.0058997050147492625,0.6875
"(40, 20)",high,True,0.02,True,31,False,difference,mc_w,0.0111386479838528,403,0,False,0,0,339,64,0.0,1.0
"(40, 20)",high,True,0.02,False,86,True,baseline,mc_w,0.0082874193016474,728,0,False,0,0,728,0,0.0,0.0
"(40, 20)",high,True,0.02,False,86,True,vs_right,mc_w,0.0082874193016474,728,69,True,69,0,504,155,0.0,0.6919642857142857
"(40, 20)",high,True,0.02,False,86,True,vs_left,mc_w,0.0082874193016474,728,65,True,64,1,503,160,0.001984126984126984,0.7142857142857143
"(40, 20)",high,True,0.02,False,86,True,difference,mc_w,0.0082874193016474,728,0,False,0,0,504,224,0.0,1.0
"(40, 20)",high,True,0.02,False,86,False,baseline,mc_w,0.0047287799241095,2236,0,False,0,0,2236,0,0.0,0.0
"(40, 20)",high,True,0.02,False,86,False,vs_right,mc_w,0.0047287799241095,2236,67,False,60,7,2005,164,0.0034791252485089465,0.7321428571428571
"(40, 20)",high,True,0.02,False,86,False,vs_left,mc_w,0.0047287799241095,2236,64,False,56,8,2004,168,0.003976143141153081,0.75
"(40, 20)",high,True,0.02,False,86,False,difference,mc_w,0.0047287799241095,2236,0,False,0,0,2012,224,0.0,1.0
"(40, 20)",high,True,0.02,False,64,True,baseline,mc_w,0.010336227882434,468,2,False,0,2,466,0,0.004273504273504274,0.0
"(40, 20)",high,True,0.02,False,64,True,vs_right,mc_w,0.010336227882434,468,52,True,52,0,324,92,0.0,0.6388888888888888
"(40, 20)",high,True,0.02,False,64,True,vs_left,mc_w,0.010336227882434,468,51,True,50,1,323,94,0.0030864197530864196,0.6527777777777778
"(40, 20)",high,True,0.02,False,64,True,difference,mc_w,0.010336227882434,468,0,False,0,0,324,144,0.0,1.0
"(40, 20)",high,True,0.02,False,64,False,baseline,mc_w,0.0054816126206689,1664,0,False,0,0,1664,0,0.0,0.0
"(40, 20)",high,True,0.02,False,64,False,vs_right,mc_w,0.0054816126206689,1664,53,False,46,7,1513,98,0.004605263157894736,0.6805555555555556
"(40, 20)",high,True,0.02,False,64,False,vs_left,mc_w,0.0054816126206689,1664,52,False,43,9,1511,101,0.0059210526315789476,0.7013888888888888
"(40, 20)",high,True,0.02,False,64,False,difference,mc_w,0.0054816126206689,1664,2,False,0,2,1518,144,0.0013157894736842105,1.0
"(40, 20)",high,True,0.02,False,31,True,baseline,mc_w,0.015504341823651,208,4,False,0,4,204,0,0.019230769230769232,0.0
"(40, 20)",high,True,0.02,False,31,True,vs_right,mc_w,0.015504341823651,208,28,True,26,2,142,38,0.013888888888888888,0.59375
"(40, 20)",high,True,0.02,False,31,True,vs_left,mc_w,0.015504341823651,208,27,True,27,0,144,37,0.0,0.578125
"(40, 20)",high,True,0.02,False,31,True,difference,mc_w,0.015504341823651,208,0,False,0,0,144,64,0.0,1.0
"(40, 20)",high,True,0.02,False,31,False,baseline,mc_w,0.0078762135226321,806,0,False,0,0,806,0,0.0,0.0
"(40, 20)",high,True,0.02,False,31,False,vs_right,mc_w,0.0078762135226321,806,23,False,21,2,740,43,0.0026954177897574125,0.671875
"(40, 20)",high,True,0.02,False,31,False,vs_left,mc_w,0.0078762135226321,806,19,False,19,0,742,45,0.0,0.703125
"(40, 20)",high,True,0.02,False,31,False,difference,mc_w,0.0078762135226321,806,0,False,0,0,742,64,0.0,1.0
"(40, 20)",high,True,0.004,True,86,True,baseline,mc_b,2.834467120181406e-05,1764,0,False,0,0,1764,0,0.0,0.0
"(40, 20)",high,True,0.004,True,86,True,vs_right,mc_b,2.834467120181406e-05,1764,53,False,53,0,700,1011,0.0,0.950187969924812
"(40, 20)",high,True,0.004,True,86,True,vs_left,mc_b,2.834467120181406e-05,1764,46,False,46,0,700,1018,0.0,0.956766917293233
"(40, 20)",high,True,0.004,True,86,True,difference,mc_b,2.834467120181406e-05,1764,0,False,0,0,700,1064,0.0,1.0
"(40, 20)",high,True,0.004,True,86,False,baseline,mc_b,9.228497600590624e-06,5418,0,False,0,0,5418,0,0.0,0.0
