amplitude,noise_filter,band_pass,window_size,density,location,condition,method,crit_p_val,total,positives,global_significant,TP,FP,TN,FN,precision,recall,F1
4020,0.2,True,0.02,86,True,vs_right,w,0.0084515425472851,728,87,True,85,2,502,139,0.9770114942528736,0.3794642857142857,0.5466237942122186
4020,0.2,True,0.02,86,True,vs_left,w,0.0084515425472851,728,73,True,73,0,504,151,1.0,0.32589285714285715,0.49158249158249157
4020,0.2,True,0.02,86,True,difference,w,0.0084515425472851,728,0,False,0,0,504,224,1.0,0.0,0.0
4020,0.2,True,0.02,86,False,baseline,w,0.0048224282217041,2236,1,False,0,1,2011,224,0.0,0.0,
4020,0.2,True,0.02,86,False,vs_right,w,0.0048224282217041,2236,162,True,81,81,1931,143,0.5,0.36160714285714285,0.4196891191709845
4020,0.2,True,0.02,86,False,vs_left,w,0.0048224282217041,2236,134,True,66,68,1944,158,0.4925373134328358,0.29464285714285715,0.36871508379888274
4020,0.2,True,0.02,86,False,difference,w,0.0048224282217041,2236,0,False,0,0,2012,224,1.0,0.0,0.0
4020,0.2,True,0.02,64,True,baseline,w,0.0105409255338945,468,1,False,0,1,323,144,0.0,0.0,
4020,0.2,True,0.02,64,True,vs_right,w,0.0105409255338945,468,66,True,64,2,322,80,0.9696969696969697,0.4444444444444444,0.6095238095238095
4020,0.2,True,0.02,64,True,vs_left,w,0.0105409255338945,468,56,True,56,0,324,88,1.0,0.3888888888888889,0.56
4020,0.2,True,0.02,64,True,difference,w,0.0105409255338945,468,0,False,0,0,324,144,1.0,0.0,0.0
4020,0.2,True,0.02,64,False,baseline,w,0.0055901699437494,1664,1,False,0,1,1519,144,0.0,0.0,
4020,0.2,True,0.02,64,False,vs_right,w,0.0055901699437494,1664,128,True,60,68,1452,84,0.46875,0.4166666666666667,0.4411764705882353
